Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England
Areal series, starting in 1891
Last updated 01-Jul-2025 11:38
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1950    6.3   16.0    8.3   14.7    9.5    8.3   13.1   16.3   18.1    8.2   18.3   12.7    36.3    32.5    37.6    44.6   149.8
1951   14.8   16.9   16.8   12.6   12.9    7.2    8.1   17.0   10.9    5.9   20.3   13.7    44.5    42.3    32.4    37.0   157.1
1952   14.7    6.1   12.0   10.5   10.5    9.2    6.4   12.4   13.6   13.6   12.8   15.9    34.5    33.0    27.9    40.0   137.6
1953    6.0    8.3    4.4   12.7    8.7   11.4   16.0   11.1   10.7    9.1    9.5    8.3    30.3    25.8    38.5    29.4   116.4
1954    9.6   14.0   12.0    3.6   11.5   11.4   13.7   16.9   16.7   15.5   17.6   11.7    31.8    27.1    42.0    49.8   154.1
1955   11.8   12.5    7.7    7.0   15.2   10.0    3.1    5.2    9.2    9.2    8.1   16.3    36.0    29.9    18.3    26.6   115.4
1956   16.9    7.5    6.3    7.2    5.1   12.1   12.7   19.5   10.8    9.6    7.6   15.2    40.7    18.6    44.3    27.9   130.4
1957   13.6   15.0   12.5    2.8    9.2    8.3   16.2   13.8   15.2   10.3    7.4   12.3    43.7    24.5    38.3    32.9   136.5
1958   13.0   14.4    9.5    5.8   13.3   15.7   13.5   15.6   13.3   12.3    7.8   15.5    39.7    28.6    44.8    33.4   149.6
1959   12.2    2.0   12.1   12.9    5.2    9.1    8.6    5.0    1.5   11.2   15.1   21.2    29.7    30.1    22.7    27.9   116.1
1960   15.5   13.0    9.8    7.7    5.4    7.9   17.5   16.1   12.8   20.5   21.0   15.0    49.7    23.0    41.4    54.3   162.2
1961   16.1   12.2    3.0   15.0    6.3    6.0    9.1   12.8   11.8   16.4   10.6   12.9    43.3    24.4    27.8    38.9   132.3
1962   15.6    7.1    8.2   11.1   12.6    4.0    8.5   12.5   13.1    5.7   11.5   11.3    35.6    31.9    25.0    30.3   121.3
1963    6.3    6.3   14.5   14.8   11.2   13.1    9.9   16.4    9.6   10.8   19.6    5.9    24.0    40.5    39.4    40.0   138.5
1964    5.9    6.8   11.0   12.4   10.0   11.6    7.9    8.5    6.7    8.9    9.6   13.1    18.6    33.4    27.9    25.3   112.4
1965   15.2    4.4   11.6   13.1   12.2   10.3   14.3   11.4   14.7    5.0   15.3   18.7    32.6    36.9    36.0    35.0   146.2
1966   10.6   15.5    7.7   15.6   11.3   12.3   12.2   11.6    7.3   16.2   13.3   17.3    44.9    34.6    36.1    36.8   151.0
1967   11.5   10.7    9.1    8.6   20.5    5.1    8.5   11.9   14.5   18.2   10.9   12.9    39.5    38.2    25.5    43.6   142.5
1968   12.0    7.3    9.9   10.8   12.4   12.2    9.7   10.9   15.8   11.9   10.8   10.0    32.2    33.1    32.8    38.6   133.6
1969   14.2   12.1   10.1   10.0   17.9    8.6    6.1   11.0    6.2    4.3   15.3   13.8    36.3    38.0    25.7    25.8   129.6
1970   17.9   14.8   13.0   15.0    5.2    7.0   12.1    8.9    9.8    9.3   18.6   10.9    46.5    33.2    28.0    37.6   142.3
1971   15.2    6.4   10.5    5.3    9.1   11.5    6.3   13.2    4.9    8.0   11.4    7.0    32.4    24.9    31.0    24.2   108.7
1972   16.2   12.9   12.8   11.7   14.4   14.2    8.4    5.8    4.5    4.9   13.1   12.7    36.1    38.9    28.3    22.5   131.5
1973    8.0    8.2    5.3   10.5   13.5    5.7   10.3    7.4    9.9    8.9    8.0   11.8    28.9    29.4    23.3    26.8   107.5
1974   16.6   13.7    9.4    2.9    8.1    9.9   11.0   12.3   17.9   14.6   16.7   12.7    42.0    20.4    33.2    49.3   145.8
1975   17.9    6.3   13.5   14.2    7.0    4.1   10.1    7.5   12.6    5.7   12.0    6.3    36.9    34.8    21.7    30.4   117.3
1976    9.5    7.9    7.5    4.1   12.0    3.4    5.1    2.9   14.2   21.1   12.4   13.0    23.7    23.6    11.4    47.8   113.2
1977   14.8   18.5   14.7   11.5    9.3   11.0    5.1   11.8    6.9   10.8   14.7   12.8    46.4    35.4    27.9    32.4   141.8
1978   15.4   13.6   14.6    9.8    6.9   10.3   11.4   11.8    8.6    4.2    8.2   19.5    41.8    31.4    33.5    21.1   134.4
1979   13.2    9.5   18.1   13.5   15.9    7.8    5.2   12.3    6.5   11.3   13.7   16.7    42.1    47.5    25.4    31.5   143.7
1980   10.6   13.3   15.5    3.6    5.0   16.2   11.1   10.3    9.9   15.1   12.9   12.7    40.6    24.1    37.6    37.9   136.3
1981   12.0    7.4   19.7    7.7   16.6    7.7    9.0    4.7   14.0   16.9   11.1   12.4    32.1    43.9    21.5    42.0   139.2
1982   12.2    8.5   14.1    4.3    8.1   15.7    4.9   13.3   10.8   15.5   16.4   12.0    33.2    26.5    33.8    42.7   135.8
1983   13.8    8.6   13.9   16.7   18.5    6.0    5.3    4.4   13.1   11.9    5.9   14.3    34.4    49.0    15.7    30.9   132.3
1984   19.3    9.9    9.9    3.1    8.3    7.1    5.5    7.5   14.4   13.5   16.7   14.5    43.5    21.3    20.1    44.7   129.9
1985   12.9    3.9   13.2   11.7    9.6   14.6   11.7   16.8    6.6    5.5   12.2   15.4    31.3    34.4    43.2    24.2   134.0
1986   17.7    4.2   14.3   14.5   14.2    6.3    9.1   12.6    2.8   12.7   15.0   17.4    37.3    43.0    28.0    30.5   140.9
1987    5.7    8.8   12.6    9.3   10.6   16.9   10.5    9.6   10.5   16.6   10.7    8.4    32.0    32.5    37.0    37.7   130.2
1988   19.7   10.5   16.3    8.0   11.2    6.2   18.2   11.3    8.7   12.0    6.4    7.2    38.6    35.5    35.7    27.1   135.6
1989    8.3   12.2   13.8   14.3    3.8    8.3    5.3    8.1    5.9   13.1    7.8   12.5    27.7    31.9    21.8    26.7   113.4
1990   17.6   16.2    5.1    8.9    4.4   13.2    5.6    7.1    8.4   13.0   11.1   12.7    46.3    18.4    25.9    32.4   123.3
1991   12.2    9.4   11.4    9.5    3.6   17.7    9.4    5.1    8.4    9.6   12.5    6.3    34.3    24.6    32.1    30.5   115.1
1992    5.6    8.6   15.1   12.5    7.1    5.8   11.0   15.2   13.7   11.2   17.6    9.5    20.4    34.8    32.0    42.4   132.9
1993   16.7    3.1    4.6   13.0   10.7    9.6   13.6    8.0   13.0   11.1    8.2   20.1    29.3    28.4    31.1    32.4   131.7
1994   17.2   11.6   14.9   12.7   10.3    6.8    7.2   10.0   13.8   12.2   11.6   15.6    48.8    37.9    24.0    37.6   143.8
1995   17.3   16.9   13.3    5.2    8.0    5.6    6.4    2.8   14.9    6.8   11.1   11.3    49.8    26.5    14.8    32.9   119.7
1996    9.3   12.8    7.6    7.5    9.0    5.5    8.2   10.5    5.6   14.1   15.9    8.0    33.4    24.2    24.3    35.6   114.1
1997    4.2   14.8    6.2    4.4   11.7   16.4    9.7   11.4    6.0    8.1   16.6   14.5    26.9    22.3    37.5    30.7   124.0
1998   13.7    4.6   11.5   19.6    5.9   17.2   10.7    7.3   12.3   17.8   13.1   15.7    32.8    37.0    35.3    43.1   149.5
1999   17.6    9.9   12.4   12.4    9.8   12.2    4.5   13.0   14.5   10.2   10.0   19.4    43.2    34.6    29.7    34.7   145.9
2000    7.9   16.0    6.6   18.3   12.9    7.8   10.0   11.0   14.1   18.4   19.1   16.0    43.3    37.8    28.7    51.6   158.0
2001   11.0   12.8   14.4   16.4    6.3    6.7    9.6   13.1   13.4   16.3   10.8    8.5    39.9    37.1    29.4    40.5   139.4
2002   13.8   17.2    9.0    8.1   14.3   10.1   12.2    9.0    3.9   14.7   19.7   16.4    39.4    31.5    31.2    38.3   148.2
2003   13.5    6.5    5.5    7.4   13.5    9.8   10.8    3.0    5.6    8.8   13.6   12.6    36.4    26.4    23.5    28.0   110.6
2004   17.8    9.1   11.0   13.3    7.8    9.3   11.4   17.0    9.9   17.5    9.7    8.7    39.5    32.1    37.7    37.1   142.5
2005   11.0    9.9    9.1   12.5    9.6    9.0    8.6    9.6   10.2   13.7   11.1    9.2    29.5    31.2    27.2    35.0   123.5
2006    6.5    9.6   14.0    9.4   15.1    4.7    6.9   14.0   10.4   15.2   14.1   14.0    25.3    38.5    25.6    39.7   133.8
2007   15.8   15.9    9.1    1.9   14.3   15.4   16.9    8.4    7.5    5.8   10.4   11.6    45.7    25.3    40.7    23.7   133.0
2008   17.5    6.6   15.7   14.1    7.8    9.0   12.4   16.9   11.6   12.2   13.7    8.4    35.7    37.6    38.3    37.5   145.9
2009   13.0    8.1    8.0    8.2   10.5    7.8   18.0   10.6    4.2   11.2   21.6   17.5    29.5    26.6    36.4    37.0   138.6
2010   12.6   15.2   10.3    5.8    6.5    6.4    9.6   13.5   11.6   11.3   14.7    8.1    45.2    22.5    29.5    37.6   125.4
2011   11.2   13.4    3.9    2.6    8.8   12.3   10.0   12.3   10.3   11.2    8.8   17.0    32.7    15.3    34.6    30.3   121.8
2012   11.7    5.2    4.8   19.0    9.1   16.9   16.6   14.1   10.0   15.8   14.1   18.6    34.0    32.9    47.6    39.9   156.0
2013   13.4    7.0   10.3    7.1   11.9    8.2    6.9    8.6    9.4   18.5   11.8   15.5    39.1    29.3    23.7    39.7   128.6
2014   23.2   18.0    9.5    9.6   14.8    8.3    8.3   14.8    3.5   15.8   16.2   11.1    56.7    33.9    31.5    35.5   153.2
2015   15.5    9.1    9.3    6.8   12.8    6.4   12.5   12.4    8.4    9.1   18.9   18.8    35.7    28.9    31.2    36.4   139.9
2016   18.3   11.1   10.6   14.2    8.9   14.8    8.2    9.3   10.2    7.5   11.8    7.5    48.2    33.7    32.2    29.5   132.2
2017   10.9   12.1   12.1    4.5    9.3    9.4   13.1   11.4   16.9    8.7   11.3   14.9    30.5    25.8    33.9    36.9   134.5
2018   16.7   10.6   17.5   12.4    7.1    2.7    5.4   10.3    8.1    8.7   12.2   15.2    42.2    37.0    18.4    29.0   126.8
2019    8.0    8.4   13.3    6.6    8.7   13.0    8.9   11.7   13.2   17.4   18.3   15.9    31.6    28.6    33.7    48.9   143.4
2020   11.4   19.7    9.3    5.1    2.3   13.8   11.4   13.0    7.4   19.7   12.0   19.1    47.0    16.8    38.2    39.0   144.2
2021   16.9   12.7    8.8    2.8   16.9    7.0   12.3    8.7    8.1   13.0    7.4   16.0    48.7    28.5    28.0    28.6   130.6
2022    7.2   14.7    7.5    5.6   11.8    8.4    5.1    5.2   11.9   16.3   17.3   13.0    37.9    24.9    18.8    45.6   124.1
2023   13.4    4.1   20.4   11.9    7.0    6.1   15.8   12.5   10.9   15.6   15.7   19.5    30.5    39.2    34.4    42.1   152.6
2024    9.8   15.5   16.9   14.5   11.7    7.2   11.0    8.4   14.0   12.8    8.7   11.9    44.7    43.0    26.6    35.5   142.3
2025   10.7   10.1    3.4    4.2    5.9    9.4                                              32.8    13.5                        
